timestamp,trade_id,market,symbol,timeframe,side,action,result,exit_reason,bars_held,entry_price,trigger_price,pnl,pnl_pct,fee,balance,ghost
2025-10-03T10:45:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T10:45:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,54,120343.78603,121306.53631824,0.0,-0.008,0.0,,True
2025-10-03T11:10:00+00:00,BTCUSDT@5m-LONG-2025-10-03T11:10:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,53,120298.37869,121741.95923428,0.0,0.012,0.0,,True
2025-10-03T11:15:00+00:00,BTCUSDT@5m-LONG-2025-10-03T11:15:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,51,120172.74101,121614.81390212,0.0,0.012,0.0,,True
2025-10-03T11:30:00+00:00,BTCUSDT@5m-LONG-2025-10-03T11:30:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,48,120212.25286,121654.79989432,0.0,0.012,0.0,,True
2025-10-03T11:40:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T11:40:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,43,120282.90430000001,121245.16753440001,0.0,-0.008,0.0,,True
2025-10-03T11:45:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T11:45:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,42,120282.90430000001,121245.16753440001,0.0,-0.008,0.0,,True
2025-10-03T11:50:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T11:50:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,41,120326.19131000001,121288.80084048,0.0,-0.008,0.0,,True
2025-10-03T12:30:00+00:00,BTCUSDT@5m-LONG-2025-10-03T12:30:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,36,120114.12343,121555.49291116,0.0,0.012,0.0,,True
2025-10-03T12:40:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T12:40:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,31,120217.12404,121178.86103232,0.0,-0.008,0.0,,True
2025-10-03T12:50:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T12:50:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,29,120285.40355,121247.6867784,0.0,-0.008,0.0,,True
2025-10-03T12:55:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T12:55:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,28,120284.60379000001,121246.88062032001,0.0,-0.008,0.0,,True
2025-10-03T13:00:00+00:00,BTCUSDT@5m-CONFLICT-2025-10-03T13:00:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,30,120198.64878,121641.03256536,0.0,0.012,0.0,,True
2025-10-03T13:10:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T13:10:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,25,120191.83163,121153.36628304,0.0,-0.008,0.0,,True
2025-10-03T13:15:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T13:15:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,24,120256.01237000001,121218.06046896001,0.0,-0.008,0.0,,True
2025-10-03T13:20:00+00:00,BTCUSDT@5m-CONFLICT-2025-10-03T13:20:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,29,120436.92023999999,121882.16328287999,0.0,0.012,0.0,,True
2025-10-03T13:25:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T13:25:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,23,120465.74943,121429.47542544,0.0,-0.008,0.0,,True
2025-10-03T13:35:00+00:00,BTCUSDT@5m-LONG-2025-10-03T13:35:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,26,120434.21943,121879.43006316,0.0,0.012,0.0,,True
2025-10-03T13:40:00+00:00,BTCUSDT@5m-LONG-2025-10-03T13:40:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,22,120264.16843,121707.33845116,0.0,0.012,0.0,,True
2025-10-03T13:55:00+00:00,BTCUSDT@5m-LONG-2025-10-03T13:55:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,22,120361.09749999999,121805.43066999999,0.0,0.012,0.0,,True
2025-10-03T14:05:00+00:00,BTCUSDT@5m-CONFLICT-2025-10-03T14:05:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,17,120214.35349,121656.92573188,0.0,0.012,0.0,,True
2025-10-03T14:10:00+00:00,BTCUSDT@5m-LONG-2025-10-03T14:10:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,16,120154.33549,121596.18751588,0.0,0.012,0.0,,True
2025-10-03T14:15:00+00:00,BTCUSDT@5m-LONG-2025-10-03T14:15:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,13,119967.17936,121406.78551232,0.0,0.012,0.0,,True
2025-10-03T14:25:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T14:25:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,10,120363.58009,121326.48873072,0.0,-0.008,0.0,,True
2025-10-03T14:35:00+00:00,BTCUSDT@5m-LONG-2025-10-03T14:35:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,15,120670.09017,122118.13125204,0.0,0.012,0.0,,True
2025-10-03T14:50:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T14:50:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,11,120868.7285,121835.678328,0.0,-0.008,0.0,,True
2025-10-03T15:00:00+00:00,BTCUSDT@5m-LONG-2025-10-03T15:00:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,11,120696.79818,122145.15975815999,0.0,0.012,0.0,,True
