funding_time,funding_time_ms,funding_rate,mark_price
2025-09-15T00:00:00.006000+00:00,1757894400006,0.00001163,115.03432353
2025-09-15T08:00:00.002000+00:00,1757923200002,0.00009470,114.84000000
2025-09-15T16:00:00.001000+00:00,1757952000001,0.00004412,113.06000000
2025-09-16T00:00:00.001000+00:00,1757980800001,0.00000934,113.66288725
2025-09-16T08:00:00+00:00,1758009600000,0.00004382,114.74000000
2025-09-16T16:00:00+00:00,1758038400000,0.00010000,115.00413725
2025-09-17T00:00:00.001000+00:00,1758067200001,0.00010000,114.97987255
2025-09-17T08:00:00+00:00,1758096000000,0.00005495,115.19804902
2025-09-17T16:00:00.003000+00:00,1758124800003,0.00003975,113.82000000
2025-09-18T00:00:00.006000+00:00,1758153600006,0.00010000,116.97000000
2025-09-18T08:00:00.002000+00:00,1758182400002,0.00010000,115.45689706
2025-09-18T16:00:00+00:00,1758211200000,-0.00000939,116.97262745
2025-09-19T00:00:00+00:00,1758240000000,0.00010000,118.14000000
2025-09-19T08:00:00.005000+00:00,1758268800005,0.00009189,117.49147059
2025-09-19T16:00:00+00:00,1758297600000,0.00002587,115.42248039
2025-09-20T00:00:00+00:00,1758326400000,0.00001904,113.96286275
2025-09-20T08:00:00+00:00,1758355200000,-0.00002230,115.10744118
2025-09-20T16:00:00.002000+00:00,1758384000002,-0.00004396,114.64000000
2025-09-21T00:00:00+00:00,1758412800000,0.00000251,113.85937255
2025-09-21T08:00:00+00:00,1758441600000,0.00006358,115.33009804
2025-09-21T16:00:00+00:00,1758470400000,0.00000258,115.37000000
2025-09-22T00:00:00.005000+00:00,1758499200005,-0.00005656,113.94000000
2025-09-22T08:00:00.003000+00:00,1758528000003,-0.00000302,105.46119608
2025-09-22T16:00:00+00:00,1758556800000,-0.00005273,105.21000000
2025-09-23T00:00:00+00:00,1758585600000,-0.00002976,105.61000000
2025-09-23T08:00:00.001000+00:00,1758614400001,0.00006263,106.17000000
2025-09-23T16:00:00+00:00,1758643200000,0.00002595,106.72000000
2025-09-24T00:00:00.003000+00:00,1758672000003,0.00004192,106.01113725
2025-09-24T08:00:00.001000+00:00,1758700800001,0.00010000,106.83000000
2025-09-24T16:00:00.002000+00:00,1758729600002,0.00001190,106.78378431
2025-09-25T00:00:00+00:00,1758758400000,-0.00002236,105.48639216
2025-09-25T08:00:00.001000+00:00,1758787200001,-0.00002580,103.91068627
2025-09-25T16:00:00+00:00,1758816000000,0.00000657,104.47887255
2025-09-26T00:00:00+00:00,1758844800000,0.00005455,102.23000000
2025-09-26T08:00:00+00:00,1758873600000,0.00001003,103.03218627
2025-09-26T16:00:00.008000+00:00,1758902400008,0.00003672,103.34569608
2025-09-27T00:00:00+00:00,1758931200000,0.00004207,104.50000000
2025-09-27T08:00:00.010000+00:00,1758960000010,0.00010000,103.70000000
2025-09-27T16:00:00.003000+00:00,1758988800003,0.00009333,104.86000000
2025-09-28T00:00:00+00:00,1759017600000,0.00010000,104.42000000
2025-09-28T08:00:00+00:00,1759046400000,0.00006135,104.05050000
2025-09-28T16:00:00+00:00,1759075200000,0.00006690,104.51833333
2025-09-29T00:00:00+00:00,1759104000000,0.00010000,106.82000000
