2025-11-25 18:35:00,007 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:37:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:39:00,007 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0025 (0.25% equity) | Margin: $8.92 | Position: $89.16 (10x)
2025-11-25 18:41:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 18:43:00,003 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 18:45:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 18:47:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 18:49:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 18:51:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 18:53:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 18:55:00,006 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 18:57:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 18:59:00,006 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:01:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:03:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:05:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:08:00,006 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:10:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:12:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:14:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:16:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:18:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:20:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:21:01,225 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:23:00,003 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:26:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:27:02,180 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:30:00,003 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:32:00,004 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:34:00,003 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:36:00,005 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:38:09,489 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
