2025-11-25 19:39:45,292 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,295 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,299 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,302 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,306 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,309 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,312 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,315 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,319 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,322 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,324 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,327 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,331 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,334 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,337 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
